id,order_id,amount,payment_method,recorded_at,manager_id,edited_by,edited_at,deleted_by,deleted_at,notes
004f845e-7937-47a8-b8f3-ede87f2ac3db,92ecfbdb-2247-4938-8a3e-c55e724e13b9,4100,cash,2026-01-31 14:50:50.271+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
00d7bba1-5616-4374-81fa-4222d31a817d,ea388d6b-8cbe-4839-bcf6-e61a54b366e7,2000,cash,2026-01-30 09:55:46.908656+00,,,,,,
00e37cf6-6f9f-484b-8aa6-0124081992b3,8d19aef8-85dd-4b19-b358-9661f224b12b,6500,cash,2026-02-10 11:48:25.172824+00,,,,,,
01eb3d33-2e76-4bca-9d51-ef62fe9da8fc,61e1dc0e-95b1-4631-bfe0-140cb723735d,2000,cash,2026-06-23 07:37:44.763173+00,,,,,,
02266804-e308-44a2-96cd-b4f1b8c0dd67,054e15de-3733-4e03-99b2-a994b362f130,1850,cash,2026-05-29 15:45:00.836126+00,,,,,,
02465e56-99e3-4eff-8ceb-4220e6159910,3482afba-01bc-4a9d-acda-11a75f11148a,1750,cash,2026-03-24 12:34:16.980547+00,,,,,,
02df3e0b-46d6-4ac6-9284-bd32fcd330af,6d7e80df-88e8-4f9f-a575-eb73b16b188e,2250,cash,2026-06-20 09:03:26.16188+00,,,,,,
0307f60d-2ea0-4f86-88f1-436c6969b480,80de5f40-2116-4c13-91fe-b4e36f63e827,3500,cash,2026-02-09 08:16:50.474988+00,,,,,,
03671130-a599-4121-b42d-945fc0e76c3f,a40235af-9568-4d59-9ead-9cd613a6c9f2,2300,cash,2026-02-20 13:29:06.843+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
03a32987-ee43-413d-86d3-f37ec1ff1312,fa720a5c-efca-48f8-a1e8-ede9c79c52b0,2100,cash,2026-06-26 16:03:32.315+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
03c94e5d-282d-412d-ae77-63c3f813ca89,ac8c5685-79b7-4431-bcb6-b8bbe2a5ef01,3700,cash,2026-03-28 06:14:11.76923+00,,,,,,
03d6c711-ee4b-419a-b58d-70967072dabe,77c255a0-3976-437b-8615-da325d350b88,2000,cash,2026-04-14 07:53:33.635029+00,,,,,,
0462a489-658d-40e1-b80f-95959715d24b,b6e3899c-1998-4527-8aa0-d70b3256c0e7,3700,cash,2026-06-23 12:34:09.268587+00,,,,,,
048dc39a-633c-4946-b429-54354348d2ca,079030b9-cd99-434b-8980-c536f1fbff82,8725,cash,2026-06-02 14:51:02.673516+00,,,,,,
04d4ba54-d398-42bf-8278-05dfe78388a1,2a01f1d7-4a6d-4389-a151-47b2c25403e2,1850,cash,2026-04-16 08:17:11.159189+00,,,,,,
04f4ba25-08fd-433b-ba1c-93cd774c6a93,f2691492-ea8c-4b55-8319-fe0aa82c09d5,2000,cash,2026-01-24 14:51:16.572693+00,,,,,,
054771ae-c101-4c35-8e95-294df922a199,29bd86d7-611d-41ab-bd1e-9b9fc41d5797,8700,cash,2026-06-27 15:07:18.216131+00,,,,,,
055fbb79-076a-4f23-baee-2bd3c75029e3,88c99709-07da-47d8-9976-71e776424619,3700,cash,2026-05-30 09:59:06.373899+00,,,,,,
05c8dcce-d3da-4b0e-af72-4edd1d17aa16,2b490617-11c3-4aa7-857f-ec9437354b60,3600,cash,2026-02-21 11:58:57.39+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
064a386e-6461-45c7-be37-44f5a53ae634,92ecfbdb-2247-4938-8a3e-c55e724e13b9,4100,cash,2026-01-29 09:41:26.964289+00,,,,65584891-c44e-4b9e-b930-75a2d9cf0ea2,2026-02-26 10:42:00.469+00,
06cef844-952a-4865-9711-3105d9d48bd5,89b59b57-aa1b-4ee7-9edc-bf580b89b3db,2450,cash,2026-06-23 09:33:16.083012+00,,,,,,
06ea4475-6b59-43f3-b197-fc3e5272f67e,ea3d6785-b3f6-4a28-84a6-f5c8c9cfafee,2250,cash,2026-05-29 10:07:28.043657+00,,,,,,
07830017-42be-4737-86a8-12acc2fd9fcc,4f842ed5-049c-4760-a148-0f6e7a9fd388,4700,cash,2026-06-10 10:18:03.13826+00,,,,,,
07b5be96-21d3-4034-b872-c0e5edfab572,7cd6c67b-7f77-4f33-878f-34d083f3d4a0,1750,cash,2026-05-16 11:44:09.915+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
0825f230-80dc-4232-be00-5c9d05746756,88f41f16-f715-4575-9f95-dd0685dfd8eb,1850,cash,2026-06-10 15:58:59.613+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
08431b9c-5b5a-4f8d-a1fb-985311d4147a,f907fe28-822b-4ae6-b536-ca40d46f5eb3,1850,cash,2026-06-17 13:42:16.838+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
0855d335-c847-4898-b715-5cd97a50c8d8,0e9eb187-a964-4ff0-b11b-763b66f5310a,3700,cash,2026-04-18 14:21:12.152792+00,,,,,,
08c5fc6e-f02e-43b3-8333-2104a0645b5b,a37e94b7-4cce-432f-b938-782fe963a7eb,4200,cash,2026-06-17 10:31:09.963472+00,,,,,,
091a9200-4104-4f08-ab55-eab189f875c0,f48a91fd-23bd-4163-8062-710857a88633,1850,cash,2026-05-21 09:45:01.347015+00,,,,,,
0a2561e6-23b2-4bb2-8445-3810fdeb9871,5c5d5520-c83e-4249-8022-58094bf80794,3500,cash,2026-02-13 07:37:45.094+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
0a3d01e4-11fd-42bf-a85c-3e78344473c2,7b83db63-5fbc-4d0e-9c4c-718a38a89ff8,2500,cash,2026-06-11 14:25:08.444556+00,,,,,,
0b9e7ed5-5efd-4477-8aad-549b0f545595,035a0b87-5e0a-4747-ab10-096701774729,1850,cash,2026-02-09 06:46:53.589974+00,,,,,,
0c6aeef1-7b43-4ffb-ab1f-7d9e233ee674,8d7a8a39-3bbf-46f0-8db8-6399b0419819,3000,cash,2026-04-18 11:46:32.956962+00,,,,,,
0c7a1ba9-dcb7-4542-be27-2187cad3606c,ee15ed87-711d-45bf-af52-76c54f841d9a,2000,cash,2026-02-05 08:55:17.085947+00,,,,,,
0c896664-9ab0-4536-9ca0-47e0abe405b5,92ecfbdb-2247-4938-8a3e-c55e724e13b9,4100,cash,2026-01-31 14:51:08.734+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
0c928ea6-e9d7-4430-a705-7bb8e1ab1a95,52161fcb-317a-41e1-9f97-70261385b36c,1500,cash,2026-02-16 10:38:23.608+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
0d037416-0b6c-47c9-b318-267f0205cd66,0ababa08-aa34-4744-b19a-853ffaa48a3a,2500,cash,2026-06-17 13:00:53.66713+00,,,,,,
0d6d9da6-c35c-4532-843c-59cdcca2e33b,62434a1b-0461-461b-a378-53c38af5ba05,1850,cash,2026-02-11 08:30:53.32357+00,,,,,,
0da67f74-b57f-41f6-af59-f069bd9a7454,229ce27a-279c-45e7-acce-e657728c7771,2000,cash,2026-03-31 09:42:28.441934+00,,,,,,
0dd1bdec-a7f5-48cb-a7e1-a275eb487afd,376209e8-9c96-41be-a0bc-28dd883cc40a,500,cash,2026-06-29 10:54:34.301+00,65584891-c44e-4b9e-b930-75a2d9cf0ea2,,,,,
