id,order_id,manager_id,amount,recorded_at,notes,recorded_by,edited_by,edited_at,deleted_by,deleted_at,payment_method
28,23,,4000,2025-12-09 07:48:44.786+00,,,,,,,cash
29,24,,15000,2025-12-09 07:58:48.459+00,,,,,,,cash
30,25,,15000,2025-12-09 08:24:06.61+00,Admin Manual Entry,,,,,,cash
31,27,,3500,2025-12-10 08:33:20.498+00,,,,,,,cash
32,28,,38000,2025-12-15 07:43:01.959+00,,,,,,,cash
33,27,,7000,2025-12-15 08:15:45.927+00,7000,,,,,,cash
34,26,,10500,2025-12-15 08:16:49.864+00,10500,,,,,,cash
35,30,,2500,2025-12-15 16:16:42.254+00,,,,,,,cash
36,31,,6000,2025-12-16 07:59:59.456+00,,,,,,,cash
37,32,,5000,2025-12-16 08:16:31.928+00,,,,,,,cash
38,33,,8000,2025-12-16 17:56:55.707+00,,,,,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,2026-03-02 12:44:06.297+00,cash
39,34,,10000,2025-12-17 07:13:55.044+00,,,,,,,cash
40,36,,18500,2025-12-18 17:28:43.930538+00,,,,,,,cash
41,25,,15000,2025-12-19 08:00:49.251+00,Admin Manual Entry,,,,,,cash
42,37,,16000,2025-12-19 08:28:06.398+00,,,,,,,cash
43,32,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,11000,2025-12-19 08:37:04.131+00,,,,,,,cash
44,32,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,11000,2025-12-19 08:37:37.586+00,,,,,,,cash
45,32,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,11000,2025-12-19 08:39:33.113+00,,,,,,,cash
47,23,5725c13f-f636-438b-a571-624d04d71965,2000,2025-12-19 08:52:03.239+00,,,,,,,cash
48,39,,5500,2025-12-19 09:11:11.792281+00,,,,,,,cash
49,40,,5500,2025-12-19 09:16:16.599044+00,,,,,,,cash
51,41,,10000,2026-01-05 09:42:13.637566+00,,,,,,,cash
52,42,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,10000,2026-01-05 09:47:32.693+00,,,,,,,cash
53,43,,14000,2026-01-05 09:52:48.616287+00,,,,,,,cash
54,44,,10000,2026-01-05 09:57:40.253938+00,,,,,,,cash
55,45,,14000,2026-01-05 10:05:15.042644+00,,,,,,,cash
56,23,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,2000,2026-01-05 10:47:32.664+00,,,,,,,cash
57,30,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,4500,2026-01-05 10:50:44.326+00,,,,,,,cash
58,46,,10000,2026-01-06 12:59:59.755288+00,,,,,,,cash
59,47,,20000,2026-01-06 13:15:56.556228+00,,,,,,,cash
60,48,,8000,2026-02-16 05:38:32.027928+00,,,,,,,cash
61,34,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,5500,2026-02-16 06:48:25.845+00,,,,,,,cash
62,46,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,12000,2026-02-16 06:53:45.879+00,,,,,,,cash
63,31,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,6000,2026-02-16 06:54:40.764+00,,,,,,,cash
64,45,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,3000,2026-02-16 06:55:13.005+00,,,,,,,cash
65,49,,8000,2026-02-17 16:37:39.083511+00,,,,,,,cash
66,50,,16000,2026-02-17 16:41:23.785346+00,,,,,,,cash
67,51,,7000,2026-02-23 15:41:29.780336+00,,,,,,,cash
68,52,,15000,2026-02-23 15:51:33.50481+00,,,,,,,cash
69,53,,12000,2026-02-23 16:07:34.581883+00,,,,,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,2026-02-23 12:12:45.779+00,cash
72,58,,40000,2026-02-27 14:05:24.639511+00,,,,,,,cash
73,59,,8000,2026-03-02 09:53:55.59621+00,,,,,,,cash
74,60,,10000,2026-03-02 10:03:22.093235+00,,,,,,,cash
75,33,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,50000,2026-03-02 12:49:14.069+00,,,,,,,cash
76,33,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,50000,2026-03-02 12:49:49.112+00,,,,,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,2026-03-02 12:51:11.15+00,cash
77,61,,8400,2026-03-03 14:03:10.259236+00,,,,,,,cash
78,49,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,9000,2026-03-10 16:20:16.342+00,,,,,,,cash
79,61,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,5600,2026-03-10 16:28:20.314+00,,,,,,,cash
80,58,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,20000,2026-03-10 16:45:27.847+00,,,,,,,cash
81,51,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,7000,2026-03-10 16:48:56.241+00,,,,,,,cash
82,53,8496fb80-7db2-44d8-9f0c-3ae936ed32a6,12000,2026-03-10 16:50:01.249+00,,,,,,,cash
83,63,,8000,2026-03-11 06:41:59.73875+00,,,,,,,cash
84,64,,5000,2026-03-11 06:47:32.726638+00,,,,,,,cash
85,65,,5000,2026-03-11 06:53:06.16401+00,,,,,,,cash
86,66,,12500,2026-03-11 09:48:08.483828+00,,,,,,,cash
87,67,,8000,2026-03-11 10:03:32.929272+00,,,,,,,cash
88,68,,8000,2026-03-12 09:53:45.780793+00,,,,,,,cash
89,69,,5000,2026-03-12 10:37:18.04281+00,,,,,,,cash
